CrimeDescription,Category
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT
BIGAMY,MISCELLANEOUS
BIKE - ATTEMPTED STOLEN,THEFT
BLOCKING DOOR INDUCTION CENTER,PUBLIC ORDER CRIME
BOAT - STOLEN,THEFT
BOMB SCARE,PUBLIC ORDER CRIME
BRIBERY,FINANCIAL CRIME
"BUNCO, ATTEMPT",FINANCIAL CRIME
CHILD ABANDONMENT,MISCELLANEOUS
CHILD ANNOYING (17YRS & UNDER),MISCELLANEOUS
CHILD NEGLECT (SEE 300 W.I.C.),MISCELLANEOUS
CHILD PORNOGRAPHY,MISCELLANEOUS
CHILD STEALING,VIOLENT CRIME
CONSPIRACY,MISCELLANEOUS
CONTEMPT OF COURT,MISCELLANEOUS
CONTRIBUTING,MISCELLANEOUS
COUNTERFEIT,PROPERTY CRIME
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",FINANCIAL CRIME
CRIMINAL THREATS - NO WEAPON DISPLAYED,VIOLENT CRIME
CRUELTY TO ANIMALS,MISCELLANEOUS
DISHONEST EMPLOYEE ATTEMPTED THEFT,THEFT
DISRUPT SCHOOL,PUBLIC ORDER CRIME
DOCUMENT WORTHLESS ($200 & UNDER),FINANCIAL CRIME
DOCUMENT WORTHLESS ($200.01 & OVER),FINANCIAL CRIME
DRIVING WITHOUT OWNER CONSENT (DWOC),THEFT
DRUNK ROLL,THEFT
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",FINANCIAL CRIME
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",FINANCIAL CRIME
"CREDIT CARDS, FRAUD USE ($950 & UNDER",FINANCIAL CRIME
EXTORTION,FINANCIAL CRIME
FAILURE TO DISPERSE,PUBLIC ORDER CRIME
FAILURE TO YIELD,PUBLIC ORDER CRIME
FALSE POLICE REPORT,MISCELLANEOUS
GRAND THEFT / AUTO REPAIR,THEFT
GRAND THEFT / INSURANCE FRAUD,FINANCIAL CRIME
KIDNAPPING - GRAND ATTEMPT,VIOLENT CRIME
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",MISCELLANEOUS
LEWD CONDUCT,MISCELLANEOUS
LYNCHING,VIOLENT CRIME
LYNCHING - ATTEMPTED,VIOLENT CRIME
OFFENCE AGAINST A PERSON,VIOLENT CRIME
ORAL COPULATION,ASSAULT
OTHER ASSAULT,ASSAULT
OTHER THEFT,THEFT
PANDERING,MISCELLANEOUS
PEEPING TOM,MISCELLANEOUS
PETTY THEFT - AUTO REPAIR,THEFT
PICKPOCKET,THEFT
"PICKPOCKET, ATTEMPT",THEFT
PIMPING,MISCELLANEOUS
PURSE SNATCHING - ATTEMPT,THEFT
"RAPE, ATTEMPTED",ASSAULT
"RAPE, FORCIBLE",ASSAULT
RECKLESS DRIVING,PUBLIC ORDER CRIME
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",WEAPONS CRIME
RESISTING ARREST,PUBLIC ORDER CRIME
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,MISCELLANEOUS
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",ASSAULT
SEXUAL PENETRATION W/FOREIGN OBJECT,ASSAULT
SHOPLIFTING - ATTEMPT,THEFT
SHOPLIFTING - PETTY THEFT ($950 & UNDER),THEFT
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),THEFT
SHOTS FIRED AT INHABITED DWELLING,WEAPONS CRIME
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",WEAPONS CRIME
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,ASSAULT
STALKING,VIOLENT CRIME
TELEPHONE PROPERTY - DAMAGE,PROPERTY CRIME
THEFT FROM PERSON - ATTEMPT,THEFT
THEFT OF IDENTITY,THEFT
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",THEFT
THREATENING PHONE CALLS/LETTERS,VIOLENT CRIME
THROWING OBJECT AT MOVING VEHICLE,VIOLENT CRIME
TRAIN WRECKING,VIOLENT CRIME
UNAUTHORIZED COMPUTER ACCESS,FINANCIAL CRIME
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PROPERTY CRIME
VANDALISM - MISDEAMEANOR ($399 OR UNDER),PROPERTY CRIME
VEHICLE - ATTEMPT STOLEN,THEFT
VEHICLE COLLISION OR PEDESTRIAN STRUCK (WITH FATALITY),VIOLENT CRIME
VEHICLE COLLISION OR PEDESTRIAN STRUCK (WITH INJURY),VIOLENT CRIME
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",THEFT
VIOLATION OF COURT ORDER,MISCELLANEOUS
VIOLATION OF RESTRAINING ORDER,MISCELLANEOUS
VIOLATION OF TEMPORARY RESTRAINING ORDER,MISCELLANEOUS
WEAPONS POSSESSION/BOMBING,WEAPONS CRIME
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,VIOLENT CRIME
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",THEFT
"BUNCO, PETTY THEFT",FINANCIAL CRIME
DOCUMENT FORGERY / STOLEN FELONY,FINANCIAL CRIME
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),VIOLENT CRIME
DISTURBING THE PEACE,PUBLIC ORDER CRIME
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",THEFT
BRANDISH WEAPON,WEAPONS CRIME
BURGLARY FROM VEHICLE,PROPERTY CRIME
ATTEMPTED ROBBERY,VIOLENT CRIME
ARSON,PROPERTY CRIME
INCITING A RIOT,PUBLIC ORDER CRIME
"THEFT, COIN MACHINE - ATTEMPT",THEFT
